nivel_satisfacao,ultima_avaliacao,numero_projetos,media_horas_mensais,tempo_empresa,acidente_trabalho,saiu,promocao_ultimos_5anos,departamento,salario
0.84,0.56,4,214,3,0,0,1,vendas,baixo
0.15,0.83,2,236,4,0,1,0,suporte,baixo
0.87,0.66,3,248,3,0,0,0,produto,medio
0.74,0.65,4,208,2,0,0,0,suporte,baixo
0.78,0.73,3,247,2,0,0,0,vendas,alto
0.78,0.78,3,257,5,0,0,0,vendas,baixo
0.72,0.78,2,187,7,0,0,0,vendas,medio
0.12,0.61,5,260,5,0,1,0,vendas,medio
0.82,0.69,3,218,2,0,0,0,suporte,medio
0.78,0.48,5,222,4,0,0,0,suporte,baixo
0.72,0.59,3,111,4,1,0,0,vendas,medio
0.1,0.68,6,202,4,0,1,0,vendas,baixo
0.2,0.68,5,259,3,0,1,0,vendas,baixo
0.87,0.67,3,250,7,0,0,0,gerenciamento,medio
0.56,0.72,3,182,5,0,0,0,suporte,alto
0.77,0.68,4,209,8,0,0,0,financeiro,medio
0.84,0.53,4,226,3,0,0,0,RH,baixo
0.8,0.7,3,141,7,0,0,0,suporte,medio
0.48,0.61,6,195,4,0,0,0,produto,baixo
0.91,0.71,3,169,4,0,0,0,vendas,baixo
0.63,0.59,5,168,4,0,0,0,TI,medio
0.55,0.77,5,178,2,0,0,0,vendas,baixo
0.66,0.72,5,240,6,0,0,0,RH,alto
0.72,0.63,4,212,7,0,0,0,vendas,baixo
0.78,0.66,3,189,4,0,0,0,marketing,baixo
0.23,0.64,3,296,10,0,1,0,vendas,medio
0.83,0.59,7,187,10,0,0,0,financeiro,medio
0.58,0.82,4,144,6,1,0,0,tecnico,baixo
0.82,0.65,4,177,4,0,0,0,TI,baixo
0.88,0.74,5,250,7,0,0,0,suporte,medio
0.55,0.76,4,221,6,0,0,0,tecnico,baixo
0.78,0.48,4,248,4,0,0,0,TI,baixo
0.76,0.77,5,213,4,0,0,0,administrativo,medio
0.2,0.66,3,310,3,0,1,0,vendas,baixo
0.09,0.64,2,294,5,0,1,0,administrativo,alto
0.18,0.61,2,238,5,0,1,0,TI,medio
0.82,0.62,4,236,7,0,0,0,RH,alto
0.72,0.7,4,96,6,0,0,0,tecnico,baixo
0.82,0.68,3,203,4,0,0,0,suporte,alto
0.8,0.74,6,215,7,0,0,0,financeiro,baixo
0.85,0.85,3,223,6,0,0,0,tecnico,baixo
0.86,0.83,6,217,6,0,0,0,suporte,baixo
0.87,0.62,3,226,4,0,0,0,vendas,baixo
0.1,0.59,3,295,3,0,1,0,vendas,baixo
0.61,0.66,3,168,8,0,0,0,TI,medio
0.84,0.71,6,199,6,0,0,0,produto,baixo
0.79,0.67,4,224,2,0,0,0,suporte,baixo
0.7,0.55,4,191,5,0,0,0,vendas,medio
0.91,0.6,4,214,4,0,0,0,tecnico,baixo
0.92,0.7,4,188,6,0,0,0,tecnico,medio
0.34,0.77,4,230,3,0,1,0,suporte,medio
0.35,0.68,3,213,6,0,1,0,financeiro,medio
0.1,0.76,4,234,6,1,1,0,marketing,baixo
0.19,0.68,2,239,3,0,1,0,vendas,alto
0.84,0.74,4,267,8,0,0,0,financeiro,medio
0.13,0.68,3,230,3,0,1,0,suporte,alto
0.79,0.55,4,249,4,0,0,0,produto,baixo
0.72,0.47,6,244,4,0,0,0,vendas,medio
0.59,0.77,3,215,3,0,0,0,TI,medio
0.84,0.71,4,259,4,0,0,0,vendas,baixo
0.58,0.69,4,161,3,0,0,0,tecnico,medio
0.81,0.6,4,186,8,0,0,0,vendas,medio
0.26,0.81,3,263,3,0,1,0,vendas,medio
0.88,0.62,4,205,2,0,0,0,vendas,baixo
0.75,0.51,4,212,4,0,0,0,vendas,medio
0.71,0.59,5,234,6,0,0,0,vendas,baixo
0.58,0.64,3,195,3,0,0,0,produto,medio
0.33,0.61,5,277,4,0,1,0,vendas,baixo
0.67,0.69,4,156,4,0,0,0,TI,baixo
0.33,0.69,2,246,4,0,1,0,vendas,baixo
0.3,0.54,4,244,7,0,1,0,administrativo,medio
0.89,0.57,4,237,7,0,0,0,administrativo,alto
0.72,0.71,7,148,5,0,0,0,vendas,baixo
0.14,0.7,6,207,5,0,1,0,TI,baixo
0.91,0.62,3,187,4,0,0,0,vendas,baixo
0.5,0.6,4,146,5,0,0,0,administrativo,medio
0.22,0.63,4,220,3,0,1,0,suporte,baixo
